,Axis1,Axis2,Axis3,waist_vm_15,waist_vm_60,waist_cpm,waist_vm_cpm,waist_ee,waist_intensity
0,0,0,0,0.0,0.0,0,1264,0.0,1
1,0,0,0,0.0,0.0,0,1264,0.0,1
2,508,200,658,855.001754384165,3420.00701753666,2032,1264,2.2199051373889267,2
3,109,205,337,409.23709509280803,1636.9483803712321,436,1264,0.47631822829801773,1
4,0,0,0,0.0,0.0,0,7655,1.500731000000001,1
5,1983,1179,1883,2977.921926444681,11911.687705778724,7932,7655,14.174766718948565,4
6,2464,2377,2708,4365.167694373265,17460.67077749306,9856,7655,20.078884707252616,4
7,221,130,178,312.1297807002722,1248.5191228010888,884,7655,2.82915534666036,1
8,2360,1925,1657,3467.1132084199385,13868.452833679754,9440,12049,16.256764815035257,4
9,535,944,650,1264.856118299627,5059.424473198508,2140,12049,6.883958639483214,2
10,1992,3155,2701,4606.244674352417,18424.978697409668,7968,12049,21.104908334043888,4
11,897,1499,2073,2710.892657410101,10843.570629640404,3588,12049,13.038290149937392,4
12,2177,1058,2404,3411.437966605871,13645.751866423485,8708,13453,16.01981098587459,4
13,2889,2583,2100,4407.744321078527,17630.977284314107,11556,13453,20.26009083051021,4
14,1978,2385,2537,4004.6320679932633,16018.528271973053,7912,13453,18.544445081379326,4
15,787,870,1131,1629.5490173664614,6518.1960694658455,3148,13453,8.43609161791166,3
16,1364,972,866,1885.5333462975402,7542.133385190161,5456,9571,9.525560921842331,3
17,1828,1408,724,2418.310153805752,9673.240615223009,7312,9571,11.79305901459728,4
18,2253,1507,742,2810.2708054563,11241.0832218252,9012,9571,13.461243548022015,4
19,1785,1438,886,2457.450915074399,9829.803660297595,7140,9571,11.959642094556642,4
20,1518,954,551,1875.6441560168068,7502.576624067227,6072,10039,9.483472528007532,3
21,1393,1110,659,1899.1656062597594,7596.662425039038,5572,10039,9.583579820241539,3
22,2580,1557,727,3099.867416519616,12399.469666078465,10320,10039,14.693766724707487,4
23,2508,1738,838,3164.3248885030753,12657.299554012301,10032,10039,14.96809772546909,4
24,693,678,797,1255.0466126801825,5020.18645072073,2772,2808,6.842209383566858,2
25,97,91,659,672.2878847636629,2689.1515390546515,388,2808,4.36198823755415,1
26,555,100,475,737.3262507194491,2949.3050028777966,2220,2808,4.638791523061976,2
27,64,75,105,144.03471803700663,576.1388721480265,256,2808,2.1137427599655014,1
28,60,0,18,62.6418390534633,250.5673562138532,240,945,0.2621935201640465,1
29,6,27,35,44.609416046390926,178.4376641855637,24,945,0.026219352016404643,1
30,110,125,185,248.89756929307285,995.5902771722914,440,945,0.4806881203007519,1
31,69,247,531,589.6872052198521,2358.7488208794084,276,945,0.3015225481886535,1
32,849,933,937,1571.3876033620732,6285.550413448293,3396,2925,8.188556639908985,3
33,135,366,383,546.6900401507238,2186.760160602895,540,2925,3.827443810881481,1
34,144,317,481,593.789525000231,2375.158100000924,576,2925,4.027899218400985,1
35,25,106,184,213.8153408902177,855.2613635608708,100,2925,2.4107290908287675,1
36,648,779,738,1253.550557416812,5014.202229667248,2592,2877,6.835842172365953,2
37,645,695,794,1236.723898046771,4946.895592187084,2580,2877,6.764227910087059,2
38,0,123,279,304.9098227345259,1219.6392909381036,0,2877,2.7984272055581423,1
39,0,2,82,82.02438661763951,328.09754647055803,0,2877,1.8498267894446743,1
40,0,0,0,0.0,0.0,0,6,0.0,1
41,0,0,0,0.0,0.0,0,6,0.0,1
42,0,0,6,6.0,24.0,0,6,0.0,1
43,0,0,0,0.0,0.0,0,6,0.0,1
44,17,142,219,261.5607004119694,1046.2428016478775,68,898,0.07428816404647984,1
45,0,0,38,38.0,152.0,0,898,0.0,1
46,0,0,36,36.0,144.0,0,898,0.0,1
47,76,188,525,562.8010305605347,2251.204122242139,304,898,0.3321117922077922,1
48,29,153,369,400.5134204992387,1602.0536819969548,116,461,0.12672686807928912,1
49,0,0,0,0.0,0.0,0,461,0.0,1
50,0,20,37,42.05948168962618,168.23792675850473,0,461,0.0,1
51,0,0,19,19.0,76.0,0,461,0.0,1
52,53,300,186,356.9383700304578,1427.7534801218312,212,767,0.23160427614490772,1
53,8,200,355,407.5401820679772,1630.1607282719087,32,767,0.034959136021872866,1
54,0,0,3,3.0,12.0,0,767,0.0,1
55,0,0,0,0.0,0.0,0,767,0.0,1
56,6,200,329,385.06752654566964,1540.2701061826785,24,396,0.026219352016404643,1
57,0,0,0,0.0,0.0,0,396,0.0,1
58,0,0,0,0.0,0.0,0,396,0.0,1
59,0,0,11,11.0,44.0,0,396,0.0,1
60,0,23,37,43.56604182158393,174.26416728633572,0,272,0.0,1
61,0,1,26,26.019223662515376,104.0768946500615,0,272,0.0,1
62,0,0,0,0.0,0.0,0,272,0.0,1
63,13,97,178,203.13049992554048,812.5219997021619,52,272,0.056808596035543404,1
64,0,34,189,192.03385118254542,768.1354047301817,0,273,0.0,1
65,0,0,2,2.0,8.0,0,273,0.0,1
66,0,0,0,0.0,0.0,0,273,0.0,1
67,0,76,23,79.40403012442127,317.6161204976851,0,273,0.0,1
68,12,125,276,303.22433939247026,1212.897357569881,48,322,0.052438704032809286,1
69,0,0,9,9.0,36.0,0,322,0.0,1
70,0,0,0,0.0,0.0,0,322,0.0,1
71,0,3,10,10.44030650891055,41.7612260356422,0,322,0.0,1
72,0,90,137,163.9176622576103,655.6706490304412,0,366,0.0,1
73,0,25,35,43.01162633521314,172.04650534085255,0,366,0.0,1
74,0,0,31,31.0,124.0,0,366,0.0,1
75,0,54,117,128.86038956948718,515.4415582779487,0,366,0.0,1
76,0,21,27,34.20526275297414,136.82105101189657,0,191,0.0,1
