Participant	Activity	OC_METs	TimeSec	Mean_AGhipX	Mean_AGhipY	Mean_AGhipZ	Var_AGhipX	Var_AGhipY	Var_AGhipZ
1	Transition	0	30	0.03	-1.01	0.23	0.05	0.08	0.01
1	WalkTreadmill	0	60	0.05	-1.01	0.23	0.12	0.23	0.03
1	WalkTreadmill	0	90	0.05	-1.01	0.23	0.12	0.23	0.03
1	WalkTreadmill	0	120	0.05	-1.01	0.24	0.12	0.22	0.03
1	WalkTreadmill	0	150	0.06	-1	0.24	0.12	0.2	0.03
1	WalkTreadmill	0	180	0.06	-1.01	0.24	0.12	0.21	0.03
1	WalkTreadmill	0	210	0.06	-1.01	0.24	0.12	0.21	0.03
1	WalkTreadmill	0	240	0.06	-1.01	0.23	0.12	0.21	0.03
1	WalkTreadmill	0	270	0.06	-1.01	0.24	0.13	0.21	0.03
1	WalkTreadmill	0	300	0.06	-1.01	0.24	0.13	0.21	0.03
1	Transition	0	330	0.03	-1	0.23	0.18	0.82	0.06
1	JogTreadmill	0	360	0.02	-1	0.22	0.21	1.12	0.07
1	JogTreadmill	7.27	390	0.02	-0.99	0.24	0.23	1.03	0.08
1	JogTreadmill	7.87	420	0.01	-1	0.23	0.22	0.98	0.07
1	JogTreadmill	8.4	450	0.01	-1	0.23	0.23	1	0.07
1	JogTreadmill	8.95	480	0.01	-1	0.23	0.24	1.02	0.07
1	Transition	8	510	0.03	-1	0.23	0.13	0.45	0.04
1	Transition	6.73	540	0.02	-1.01	0.25	0.07	0.12	0.02
1	WalkBrisk	6.44	570	0.03	-1	0.25	0.09	0.19	0.03
1	WalkBrisk	5.61	600	0.04	-1.01	0.25	0.12	0.21	0.04
1	WalkBrisk	6.53	630	0.04	-1.01	0.24	0.13	0.21	0.04
1	WalkBrisk	6.54	660	0.03	-1	0.26	0.1	0.22	0.03
1	WalkBrisk	6.06	690	0.03	-1.01	0.24	0.11	0.21	0.04
1	WalkBrisk	6.12	720	0.05	-1.01	0.24	0.11	0.19	0.04
1	WalkBrisk	6.21	750	0.03	-1	0.26	0.1	0.2	0.03
1	WalkBrisk	6.15	780	0.03	-1.01	0.26	0.11	0.24	0.04
1	WalkBrisk	6.46	810	0.04	-1.01	0.25	0.13	0.25	0.04
1	WalkBrisk	6.22	840	0.04	-1.01	0.26	0.12	0.24	0.04
1	Transition	5.49	870	0.03	-1	0.25	0.04	0.05	0.02
1	Transition	4.55	900	0.04	-1	0.23	0.04	0.14	0.02
1	Stairs	6.87	930	0.04	-1.01	0.22	0.08	0.23	0.03
