VisitTime	Activity	METS	AL_Ank_X_pTen	AL_Ank_X_pTwentyFive	AL_Ank_X_pFifty	AL_Ank_X_pSeventyFive	AL_Ank_X_pNinety	AL_Ank_X_cov	AL_Ank_Y_pTen	AL_Ank_Y_pTwentyFive	AL_Ank_Y_pFifty	AL_Ank_Y_pSeventyFive	AL_Ank_Y_pNinety	AL_Ank_Y_cov	AL_Ank_Z_pTen	AL_Ank_Z_pTwentyFive	AL_Ank_Z_pFifty	AL_Ank_Z_pSeventyFive	AL_Ank_Z_pNinety	AL_Ank_Z_cov	AL_Hip_X_pTen	AL_Hip_X_pTwentyFive	AL_Hip_X_pFifty	AL_Hip_X_pSeventyFive	AL_Hip_X_pNinety	AL_Hip_X_cov	AL_Hip_Y_pTen	AL_Hip_Y_pTwentyFive	AL_Hip_Y_pFifty	AL_Hip_Y_pSeventyFive	AL_Hip_Y_pNinety	AL_Hip_Y_cov	AL_Hip_Z_pTen	AL_Hip_Z_pTwentyFive	AL_Hip_Z_pFifty	AL_Hip_Z_pSeventyFive	AL_Hip_Z_pNinety	AL_Hip_Z_cov	AL_LW_X_pTen	AL_LW_X_pTwentyFive	AL_LW_X_pFifty	AL_LW_X_pSeventyFive	AL_LW_X_pNinety	AL_LW_X_cov	AL_LW_Y_pTen	AL_LW_Y_pTwentyFive	AL_LW_Y_pFifty	AL_LW_Y_pSeventyFive	AL_LW_Y_pNinety	AL_LW_Y_cov	AL_LW_Z_pTen	AL_LW_Z_pTwentyFive	AL_LW_Z_pFifty	AL_LW_Z_pSeventyFive	AL_LW_Z_pNinety	AL_LW_Z_cov	AL_RW_X_pTen	AL_RW_X_pTwentyFive	AL_RW_X_pFifty	AL_RW_X_pSeventyFive	AL_RW_X_pNinety	AL_RW_X_cov	AL_RW_Y_pTen	AL_RW_Y_pTwentyFive	AL_RW_Y_pFifty	AL_RW_Y_pSeventyFive	AL_RW_Y_pNinety	AL_RW_Y_cov	AL_RW_Z_pTen	AL_RW_Z_pTwentyFive	AL_RW_Z_pFifty	AL_RW_Z_pSeventyFive	AL_RW_Z_pNinety	AL_RW_Z_cov
30	Lying	1.22	-0.96	-0.96	-0.96	-0.96	-0.96	0	-0.21	-0.21	-0.21	-0.21	-0.2	0	-0.29	-0.29	-0.29	-0.29	-0.28	0	0.91	0.91	0.91	0.92	0.92	0	0.2	0.2	0.21	0.21	0.21	0	0.38	0.38	0.38	0.39	0.39	0	-0.06	-0.06	-0.06	-0.06	-0.05	0	0.97	0.97	0.97	0.97	0.97	0	0.08	0.09	0.09	0.09	0.09	0	0.13	0.13	0.13	0.14	0.14	0	0.79	0.79	0.79	0.79	0.8	0	0.52	0.53	0.53	0.54	0.54	0
60	Lying	1.28	-0.96	-0.96	-0.96	-0.96	-0.96	0	-0.21	-0.21	-0.21	-0.2	-0.2	0	-0.29	-0.29	-0.29	-0.29	-0.29	0	0.91	0.91	0.91	0.92	0.92	0	0.2	0.2	0.21	0.21	0.21	0	0.38	0.38	0.38	0.39	0.39	0	-0.06	-0.06	-0.06	-0.05	-0.05	0	0.97	0.97	0.97	0.98	0.98	0	-0.02	-0.01	0	0.09	0.09	0	0.09	0.09	0.13	0.13	0.14	0	0.79	0.8	0.81	0.97	0.97	0	0.06	0.06	0.52	0.52	0.53	0
90	Lying	0.9	-0.97	-0.96	-0.96	-0.96	-0.95	0	-0.21	-0.21	-0.21	-0.2	-0.2	0	-0.3	-0.29	-0.29	-0.29	-0.28	0	0.91	0.91	0.91	0.92	0.92	0	0.2	0.2	0.2	0.21	0.21	0	0.38	0.38	0.38	0.39	0.39	0	-0.06	-0.05	-0.05	-0.05	-0.05	0	0.97	0.97	0.98	0.98	0.98	0	-0.02	-0.02	-0.02	-0.01	-0.01	0	0.09	0.09	0.09	0.09	0.1	0	0.97	0.97	0.97	0.97	0.98	0	0.04	0.05	0.05	0.05	0.05	0
120	Lying	1.09	-0.96	-0.96	-0.96	-0.96	-0.95	0	-0.21	-0.21	-0.21	-0.2	-0.2	0	-0.3	-0.29	-0.29	-0.29	-0.29	0	0.91	0.91	0.91	0.92	0.92	0	0.2	0.2	0.2	0.21	0.21	0	0.38	0.38	0.38	0.39	0.39	0	-0.05	-0.05	-0.05	-0.05	-0.04	0	0.97	0.97	0.98	0.98	0.98	0	-0.02	-0.02	-0.02	-0.01	-0.01	0	0.09	0.09	0.09	0.09	0.1	0	0.97	0.97	0.97	0.98	0.98	0	0.04	0.04	0.04	0.04	0.05	0
150	Lying	1.15	-0.96	-0.96	-0.96	-0.96	-0.95	0	-0.21	-0.21	-0.21	-0.2	-0.2	0	-0.3	-0.3	-0.29	-0.29	-0.29	0	0.91	0.91	0.91	0.92	0.92	0	0.2	0.2	0.2	0.21	0.21	0	0.38	0.38	0.39	0.39	0.39	0	-0.05	-0.05	-0.05	-0.05	-0.04	0	0.97	0.97	0.98	0.98	0.98	0	-0.02	-0.02	-0.02	-0.02	-0.02	0	0.09	0.09	0.1	0.1	0.1	0	0.97	0.97	0.97	0.98	0.98	0	0.04	0.04	0.05	0.05	0.05	0
180	Lying	1.24	-0.96	-0.96	-0.96	-0.96	-0.95	0	-0.21	-0.21	-0.21	-0.2	-0.2	0	-0.3	-0.3	-0.29	-0.29	-0.29	0	0.91	0.91	0.91	0.92	0.92	0	0.2	0.2	0.2	0.21	0.21	0	0.38	0.38	0.39	0.39	0.39	0	-0.06	-0.05	-0.05	-0.05	-0.04	0	0.97	0.97	0.98	0.98	0.98	0	-0.02	-0.02	-0.02	-0.02	-0.02	0	0.09	0.09	0.1	0.1	0.1	0	0.97	0.97	0.97	0.97	0.98	0	0.05	0.05	0.05	0.06	0.06	0
210	Lying	1.24	-0.96	-0.96	-0.96	-0.96	-0.95	0	-0.21	-0.21	-0.21	-0.2	-0.2	0	-0.3	-0.3	-0.29	-0.29	-0.29	0	0.91	0.91	0.91	0.92	0.92	0	0.2	0.2	0.2	0.21	0.21	0	0.38	0.38	0.39	0.39	0.39	0	-0.06	-0.06	-0.05	-0.05	-0.04	0	0.97	0.97	0.97	0.98	0.98	0	-0.02	-0.02	-0.02	0.04	0.04	0	0.09	0.1	0.1	0.1	0.1	0	0.97	0.97	0.97	0.97	0.98	0	0.05	0.05	0.05	0.06	0.06	0
240	Lying	1.33	-0.96	-0.96	-0.95	-0.95	-0.95	0	-0.21	-0.21	-0.2	-0.2	-0.2	0	-0.31	-0.31	-0.31	-0.31	-0.3	0	0.91	0.91	0.91	0.92	0.92	0	0.2	0.2	0.2	0.2	0.21	0	0.39	0.39	0.39	0.39	0.4	0	-0.06	-0.06	-0.06	-0.05	-0.05	0	0.97	0.97	0.97	0.97	0.98	0	0.04	0.04	0.04	0.05	0.05	0	0.1	0.1	0.1	0.1	0.1	0	0.97	0.97	0.97	0.97	0.98	0	0.05	0.05	0.05	0.06	0.06	0
270	Lying	1.14	-0.96	-0.96	-0.95	-0.95	-0.95	0	-0.21	-0.21	-0.2	-0.2	-0.2	0	-0.31	-0.31	-0.31	-0.31	-0.31	0	0.91	0.91	0.91	0.92	0.92	0	0.2	0.2	0.2	0.2	0.21	0	0.39	0.39	0.39	0.39	0.4	0	-0.06	-0.06	-0.06	-0.06	-0.05	0	0.97	0.97	0.97	0.97	0.98	0	0.04	0.04	0.04	0.04	0.05	0	0.1	0.1	0.1	0.1	0.1	0	0.97	0.97	0.97	0.97	0.98	0	0.05	0.05	0.05	0.06	0.06	0
300	Lying	1.12	-0.96	-0.96	-0.95	-0.95	-0.95	0	-0.21	-0.21	-0.2	-0.2	-0.2	0	-0.32	-0.31	-0.31	-0.31	-0.31	0	0.91	0.91	0.91	0.92	0.92	0	0.2	0.2	0.2	0.21	0.21	0	0.39	0.39	0.39	0.4	0.4	0	-0.06	-0.06	-0.06	-0.06	-0.06	0	0.97	0.97	0.97	0.97	0.98	0	0.04	0.04	0.04	0.05	0.05	0	0.09	0.1	0.1	0.1	0.1	0	0.97	0.97	0.97	0.98	0.98	0	0.04	0.05	0.05	0.05	0.05	0
