	Participant	Activity	OC_METs	TimeSec	Mean_AGhipX	Var_AGhipX	Mean_AGhipY	Var_AGhipY	Mean_AGhipZ	Var_AGhipZ
0	1	Test	1	30	-0.19399999999999998	9e-06	-0.057	9e-06	-1.002	9e-06
1	1	Test	1	60	-0.195	0.0	-0.055	0.0	-1.004	0.0
2	1	Test	1	90	0.168	0.3136	-0.055999999999999994	0.008648999999999999	-0.622	0.32262399999999997
3	1	Test	1	120	1.011	0.010609	-0.037000000000000005	0.015625	-0.02	0.015625
4	1	Test	1	150	1.02	0.0	-0.016	0.0	-0.039	0.0
5	1	Test	1	180	0.268	0.179776	-0.609	0.233289	0.049	0.266256
6	1	Test	1	210	0.059000000000000004	0.2809	-0.18899999999999997	0.379456	-0.285	0.323761
7	1	Test	1	240	0.15	0.003249	-0.732	0.0043560000000000005	-0.706	0.0039689999999999994
8	1	Test	1	270	0.254	0.35880100000000004	-0.204	0.337561	-0.147	0.22657600000000003
9	1	Test	1	300	0.956	0.0256	0.05	0.082944	-0.135	0.024025
10	1	Test	1	330	0.742	0.160801	-0.11900000000000001	0.34105599999999997	-0.177	0.32148899999999997
11	1	Test	1	360	0.867	0.06916900000000001	0.011000000000000001	0.126025	-0.36	0.152881
12	1	Test	1	390	0.615	0.252004	-0.081	0.110224	0.004	0.33872399999999997
13	1	Test	1	420	0.518	0.393129	-0.13699999999999998	0.18576099999999998	-0.077	0.32262399999999997
14	1	Test	1	450	0.491	0.22467600000000001	-0.11599999999999999	0.25100100000000003	-0.25	0.4096
15	1	Test	1	480	0.977	0.047961000000000004	0.084	0.045795999999999996	-0.162	0.066564
16	1	Test	1	510	0.963	0.087025	0.17800000000000002	0.041616	-0.233	0.039204
17	1	Test	1	540	0.9620000000000001	0.075625	0.214	0.047089	-0.175	0.022801
18	1	Test	1	570	0.961	0.091204	0.242	0.056169000000000004	-0.165	0.021904
19	1	Test	1	600	0.961	0.070225	0.212	0.056169000000000004	-0.185	0.027556
20	1	Test	1	630	0.9640000000000001	0.055225	0.191	0.033124	-0.225	0.020736
21	1	Test	1	660	0.965	0.047524000000000004	0.191	0.039204	-0.20800000000000002	0.019321
22	1	Test	1	690	0.96	0.099225	0.214	0.0576	-0.18899999999999997	0.022801
23	1	Test	1	720	0.9670000000000001	0.099856	0.20600000000000002	0.0625	-0.179	0.024336
24	1	Test	1	750	0.955	0.024025	0.10800000000000001	0.028561000000000003	-0.028999999999999998	0.076176
25	1	Test	1	780	0.9790000000000001	0.004761	-0.11699999999999999	0.006241	-0.14400000000000002	0.056169000000000004
26	1	Test	1	810	0.8590000000000001	0.065025	-0.19	0.0121	-0.376	0.087025
27	1	Test	1	840	0.8220000000000001	0.0121	-0.161	0.009801	-0.5920000000000001	0.017689
28	1	Test	1	870	0.878	0.006084	-0.133	0.007568999999999999	-0.53	0.005776
29	1	Test	1	900	0.841	0.005929	-0.18899999999999997	0.0038439999999999998	-0.568	0.011025
30	1	Test	1	930	0.8320000000000001	0.009604000000000001	-0.158	0.013688999999999998	-0.5820000000000001	0.015875999999999998
31	1	Test	1	960	0.9420000000000001	0.0036	-0.20600000000000002	0.015375999999999999	-0.267	0.0484
32	1	Test	1	990	0.961	0.024025	0.22	0.023716	-0.134	0.033124
33	1	Test	1	1020	0.937	0.005476	0.207	0.016641	-0.273	0.020163999999999998
34	1	Test	1	1050	0.9440000000000001	0.0064	0.171	0.026895999999999996	-0.259	0.024964
35	1	Test	1	1080	0.9359999999999999	0.0017640000000000002	0.081	0.007921	-0.379	0.0121
36	1	Test	1	1110	0.966	0.033124	0.192	0.032041	-0.193	0.018496000000000002
37	1	Test	1	1140	0.958	0.030275999999999997	0.213	0.04	-0.10800000000000001	0.025921
38	1	Test	1	1170	0.983	0.000625	-0.004	0.010609	-0.235	0.011664
39	1	Test	1	1200	0.983	0.000324	-0.079	0.000625	-0.28	0.003721
40	1	Test	1	1230	0.99	4.9e-05	-0.075	0.000196	-0.257	0.000729
41	1	Test	1	1260	1.008	1.6e-05	-0.035	3.6e-05	-0.153	0.0004
42	1	Test	1	1290	1.008	2.5e-05	-0.035	0.000256	-0.145	0.000676
43	1	Test	1	1320	1.003	2.5e-05	-0.08199999999999999	9e-06	-0.198	0.000484
44	1	Test	1	1350	0.995	0.000529	-0.069	0.0053289999999999995	-0.20199999999999999	0.008836
45	1	Test	1	1380	1.006	0.0001	0.017	0.0009	-0.14	0.0024010000000000004
46	1	Test	1	1410	1.005	0.000169	0.0	0.000676	-0.16	0.0017640000000000002
47	1	Test	1	1440	0.9520000000000001	0.005476	0.068	0.012996	-0.3	0.024025
48	1	Test	1	1470	0.966	0.003721	0.012	0.027888999999999997	-0.21100000000000002	0.030625
49	1	Test	1	1500	1.004	1.6e-05	0.085	0.000256	-0.09699999999999999	0.0004
50	1	Test	1	1530	1.002	8.1e-05	0.009000000000000001	0.0010890000000000001	-0.17600000000000002	0.001936
51	1	Test	1	1560	1.006	3.6e-05	0.013000000000000001	0.00044100000000000004	-0.152	0.0016809999999999998
52	1	Test	1	1590	0.9890000000000001	0.001936	0.031	0.0169	-0.18100000000000002	0.007921
53	1	Test	1	1620	0.895	0.0036	-0.331	0.017689	-0.35	0.026244
54	1	Test	1	1650	0.818	0.00044100000000000004	-0.35100000000000003	0.0004	-0.5429999999999999	0.0008410000000000001
55	1	Test	1	1680	0.8009999999999999	0.000225	-0.355	0.000169	-0.5670000000000001	0.000225
56	1	Test	1	1710	0.914	0.009025	-0.162	0.035344	-0.315	0.053824000000000004
57	1	Test	1	1740	1.011	2.5e-05	0.013999999999999999	8.1e-05	-0.08800000000000001	0.000256
58	1	Test	1	1770	1.011	3.6e-05	0.023	0.000225	-0.061	0.0004
59	1	Test	1	1800	1.011	4.9e-05	0.006999999999999999	0.0008410000000000001	-0.051	0.0016
60	1	Test	1	1830	1.011	6.4e-05	-0.006	0.0008410000000000001	-0.094	0.001369
61	1	Test	1	1860	0.8809999999999999	0.0017640000000000002	-0.302	0.0036	-0.449	0.008464
62	1	Test	1	1890	0.879	0.000144	-0.311	0.000144	-0.461	0.000361
63	1	Test	1	1920	0.9329999999999999	0.0046240000000000005	-0.113	0.038416000000000006	-0.213	0.078961
64	1	Test	1	1950	0.927	0.0049	-0.142	0.020163999999999998	-0.335	0.043264
65	1	Test	1	1980	1.01	2.5e-05	0.005	0.000196	-0.09	0.0008410000000000001
66	1	Test	1	2010	1.013	2.5e-05	-0.018000000000000002	0.000144	-0.08199999999999999	0.00028900000000000003
67	1	Test	1	2040	0.95	0.002601	-0.11800000000000001	0.011881000000000001	-0.313	0.030275999999999997
68	1	Test	1	2070	0.9690000000000001	0.001296	-0.10400000000000001	0.0046240000000000005	-0.3	0.012544
69	1	Test	1	2100	0.988	0.000324	-0.08800000000000001	0.0016809999999999998	-0.253	0.004489
70	1	Test	1	2130	0.998	3.6e-05	-0.08199999999999999	8.1e-05	-0.22399999999999998	0.000324
